Category,Default 24X24,Icon Name,Small 20X20,Icon Name S,Large 30X30,Icon Name L,XSmall 16X16,Icon Name XS,XLarge 60X60,con Name XL,Sizes,Type
Media,,PlayButtonFill,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/PlayButtonFillS.svg,PlayButtonFillSmall,,,,,,,Small 20X20,Fill
Media,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/CameraM.svg,Camera,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/CameraS.svg,CameraSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/CameraL.svg,CameraLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
Media,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/CameraFillM.svg,CameraFill,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/CameraFillS.svg,CameraFillSmall,,,,,,,"Medium 24X24, Small 20X20",Fill
Media,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ImagesFillM.svg,DuplicateFill,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ImagesFillS.svg,DuplicateFillSmall,,,,,,,"Medium 24X24, Small 20X20",Fill
Media,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ImageM.svg,Image,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ImageS.svg,ImageSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ImageL.svg,ImageLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
Media,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/PlayFillM.svg,Play,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/PlayFill_Small_20X20.svg,PlaySmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/PlayFill_Large__30X30.svg,PlayFillLarge,,,,,Medium 24X24,Fill
Media,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/PlayButtonM.svg,PlayButton,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/PlayButtonS.svg,PlayButtonSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/PlayButtonL.svg,PlayButtonLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
Media,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/VideoM.svg,Video,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/VideoS.svg,VideoSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/VideoL.svg,VideoLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
Media,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/VideoFillM.svg,VideoFill,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/VideoFillS.svg,VideoFillSmall,,,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/VideoFill_XSmall_16X16.svg,VideoFillSmall,,,Medium 24X24,Fill
Notifications,,ErrorFill,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ErrorFillS.svg,ErrorFillSmall,,,,,,,Small 20X20,Fill
Notifications,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ErrorM.svg,Error,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ErrorS.svg,ErrorSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ErrorL.svg,ErrorLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
Notifications,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Alert_Medium_24X24.svg,Alert,,,,,,,,,Medium 24X24,
Notifications,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Info_Medium_24X24.svg,Info,,,,,,,,,Medium 24X24,
Arrows,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Down_Meduim_24X24.svg,ArrowDown,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Down_Small_20X20.svg,ArrowDownSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Down_Large_30X30.svg,ArrowDownLarge,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Down_XSmall_16X16.svg,ArrowDownXSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Down_XLarge__60X60.svg,ArrowDownXLarge,"Large 30X30, Medium 24X24, Small 20X20, XLarge 60X60, XSmall 16X16",Outline
Arrows,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Meduim_24X24.svg,ArrowRight,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ArrowS.svg,ArrowRightSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ArrowL.svg,ArrowRightLarge,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ArrowXS.svg,ArrowRightXSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ArrowXL.svg,ArrowRightXLarge,"Large 30X30, Medium 24X24, Small 20X20, XLarge 60X60, XSmall 16X16",Outline
Arrows,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Maximize_Medium_24X24.svg,Maximize,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Maximize_Small_20X20.svg,MaximizeSmall,,,,,,,"Medium 24X24, Small 20X20",Outline
Arrows,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Minimize_Medium_24X24.svg,Minimize,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Minimize_Small_20X20.svg,MinimizeSmall,,,,,,,"Medium 24X24, Small 20X20",Outline
Arrows,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Left_Meduim_24X24.svg,ArrowLeft,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Left_Small_20X20.svg,ArrowLeftSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Left__Large__30X30.svg,ArrowLeftLarge,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Left_XSmall_16X16.svg,ArrowLeftXSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Left_XLarge__60X60.svg,ArrowLeftXLarge,"Large 30X30, Medium 24X24, Small 20X20, XLarge 60X60, XSmall 16X16",
Arrows,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/DoubleArrow_Meduim_24X24.svg,DoubleArrow,,,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/DoubleArrow_Large__30X30.svg,DoubleArrowLarge,,,,,"Large 30X30, Medium 24X24",
Arrows,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Sort_Medium_24X24.svg,Sort,,,,,,,,,Medium 24X24,
Arrows,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/SortDown_Medium_24X24.svg,SortDown,,,,,,,,,Medium 24X24,
Arrows,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/SortUp_Medium_24X24.svg,SortUp,,,,,,,,,Medium 24X24,
Arrows,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Up_Meduim_24X24.svg,ArrowUp,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Up_Small_20X20.svg,ArrowUpSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Up_Large__30X30.svg,ArrowUpLarge,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Up_XSmall_16X16.svg,ArrowUpXSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Arrow_Up_XLarge__60X60.svg,ArrowUpXLarge,"Large 30X30, Medium 24X24, Small 20X20, XLarge 60X60, XSmall 16X16",
