Category,Default 24X24,Icon Name,Small 20X20,Icon Name S,Large 30X30,Icon Name L,XSmall 16X16,Icon Name XS,XLarge 60X60,con Name XL,Sizes,Type
Actions,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ImagesM.svg,Duplicate,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ImagesS.svg,DuplicateSmall,,,,,,,"Medium 24X24, Small 20X20",Outline
Actions,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/EditM.svg,Edit,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/EditS.svg,EditSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/EditL.svg,EditLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
Actions,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LaunchM.svg,ExternalLink,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LaunchS.svg,ExternalLinkSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LaunchL.svg,ExternalLinkLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
Actions,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LinkM.svg,Link,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LinkS.svg,LinkSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LinkL.svg,LinkLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
Actions,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/MoveToM.svg,MoveTo,,,,,,,,,Medium 24X24,Outline
Actions,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/SearchM.svg,Search,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/SearchS.svg,SearchSmall,,,,,,,Medium 24X24,Outline
Actions,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/ShareM.svg,Share,,,,,,,,,Medium 24X24,Outline
Actions,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Rearrangeable_Medium_24X24.svg,Rearrangeable,,,,,,,,,Medium 24X24,
General,,DocumentFill,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/DocumentFill_Small_20X20.svg,DocumentFillSmall,,,,,,,Small 20X20,Fill
General,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Location_Medium_24X24.svg,Location,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Location_Small_20X20.svg,LocationSmall,,,,,,,"Medium 24X24, Small 20X20",Fill
General,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LocationFill_Medium_24X24.svg,LocationFill,,,,,,,,,Medium 24X24,Fill
General,,NotificationsFill,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/NotofocationsFillS.svg,NotificationsFillSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/NotificationsFillL.svg,NotificationsFillLarge,,,,,"Large 30X30, Small 20X20",Fill
General,,SettingsFill,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/SettingsFillS.svg,SettingsFillSmall,,,,,,,Small 20X20,Fill
General,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/TagFill_Medium_24X24.svg,TagFill,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/TagFillS.svg,TagFillSmall,,,,,,,"Medium 24X24, Small 20X20",Fill
General,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/AddUserM.svg,AddUser,,,,,,,,,Medium 24X24,Outline
General,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/AdminM.svg,Admin,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Admin_Small_20X20.svg,AdminSmall,,,,,,,"Medium 24X24, Small 20X20",Outline
General,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/AdminFillM.svg,AdminFill,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/AdminFillS.svg,AdminFillSmall,,,,,,,"Medium 24X24, Small 20X20",Fill
General,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/BadgeM.svg,Badge,,,,,,,,,Medium 24X24,Outline
General,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/BadgeFillM.svg,BadgeFill,,,,,,,,,Medium 24X24,Fill
General,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/BlockCommentsM.svg,BlockComments,,,,,,,,,Medium 24X24,Outline
General,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/CalendarM.svg,Calendar,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/CalendarS.svg,CalendarSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/CalendarL.svg,CalendarLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
